propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag
381,2020-07-21 00:00:00.000000,,,Repair Report,False,False,0,False,False
119,2020-07-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
211,2020-08-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
480,2020-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
307,2020-08-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
305,2020-09-02 00:00:00.000000,,,Repair Report,False,False,0,False,False
101,2020-09-07 00:00:00.000000,,,Repair Report,False,False,0,False,False
197,2020-09-17 00:00:00.000000,,,Repair Report,False,False,0,False,False
260,2020-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False
469,2020-10-02 00:00:00.000000,,,Repair Report,False,False,0,False,False
343,2020-10-05 00:00:00.000000,,,Repair Report,False,False,0,False,False
203,2020-10-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
488,2020-10-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
245,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
168,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
136,2020-11-29 00:00:00.000000,,,Repair Report,False,False,0,False,False
494,2020-12-01 00:00:00.000000,,,Repair Report,False,False,0,False,False
492,2020-12-07 00:00:00.000000,,,Repair Report,False,False,0,False,False
474,2020-12-09 00:00:00.000000,,,Repair Report,False,False,0,False,False
248,2020-12-17 00:00:00.000000,,,Repair Report,False,False,0,False,False
453,2020-12-18 00:00:00.000000,,,Repair Report,False,False,0,False,False
111,2020-12-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
421,2021-01-15 00:00:00.000000,,,Repair Report,False,False,0,False,False
199,2021-01-18 00:00:00.000000,,,Repair Report,False,False,0,False,False
255,2021-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False
115,2021-02-21 00:00:00.000000,,,Repair Report,False,False,0,False,False
295,2021-03-11 00:00:00.000000,,,Repair Report,False,False,0,False,False
465,2021-03-17 00:00:00.000000,,,Repair Report,False,False,0,False,False
298,2021-03-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
496,2021-03-24 00:00:00.000000,,,Repair Report,False,False,0,False,False
312,2021-03-29 00:00:00.000000,,,Repair Report,False,False,0,False,False
278,2021-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
495,2021-04-07 00:00:00.000000,,,Repair Report,False,False,0,False,False
409,2021-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False
246,2021-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False
195,2021-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False
233,2021-04-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
466,2021-05-07 00:00:00.000000,,,Repair Report,False,False,0,False,False
97,2021-05-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
480,2021-05-11 00:00:00.000000,,,Repair Report,False,False,0,False,False
211,2021-05-29 00:00:00.000000,,,Repair Report,False,False,0,False,False
95,2021-06-13 00:00:00.000000,,,Repair Report,False,False,0,False,False
126,2021-06-15 00:00:00.000000,,,Repair Report,False,False,0,False,False
207,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False
304,2021-06-16 00:00:00.000000,,,Repair Report,False,False,0,False,False
196,2021-06-19 00:00:00.000000,,,Repair Report,False,False,0,False,False
26,2021-06-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
60,2021-07-01 00:00:00.000000,,,Repair Report,False,False,0,False,False
214,2021-07-03 00:00:00.000000,,,Repair Report,False,False,0,False,False
346,2021-07-06 00:00:00.000000,,,Repair Report,False,False,0,False,False
498,2021-07-14 00:00:00.000000,,,Repair Report,False,False,0,False,False
46,2021-07-15 00:00:00.000000,,,Repair Report,False,False,0,False,False
490,2021-07-19 00:00:00.000000,,,Repair Report,False,False,0,False,False
177,2021-08-12 00:00:00.000000,,,Repair Report,False,False,0,False,False
305,2021-08-13 00:00:00.000000,,,Repair Report,False,False,0,False,False
273,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False
91,2021-08-16 00:00:00.000000,,,Repair Report,False,False,0,False,False
393,2021-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
130,2021-08-26 00:00:00.000000,,,Repair Report,False,False,0,False,False
304,2021-08-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
97,2021-09-01 00:00:00.000000,,,Repair Report,False,False,0,False,False
166,2021-09-19 00:00:00.000000,,,Repair Report,False,False,0,False,False
417,2021-09-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
42,2021-10-01 00:00:00.000000,,,Repair Report,False,False,0,False,False
317,2021-10-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
270,2021-10-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
498,2021-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
376,2021-11-28 00:00:00.000000,,,Repair Report,False,False,0,False,False
83,2021-11-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
417,2021-12-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
322,2021-12-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
113,2021-12-09 00:00:00.000000,,,Repair Report,False,False,0,False,False
328,2021-12-13 00:00:00.000000,,,Repair Report,False,False,0,False,False
16,2021-12-26 00:00:00.000000,,,Repair Report,False,False,0,False,False
338,2021-12-28 00:00:00.000000,,,Repair Report,False,False,0,False,False
401,2022-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False
228,2022-02-05 00:00:00.000000,,,Repair Report,False,False,0,False,False
191,2022-02-07 00:00:00.000000,,,Repair Report,False,False,0,False,False
256,2022-02-09 00:00:00.000000,,,Repair Report,False,False,0,False,False
465,2022-02-11 00:00:00.000000,,,Repair Report,False,False,0,False,False
295,2022-02-12 00:00:00.000000,,,Repair Report,False,False,0,False,False
40,2022-02-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
87,2022-02-27 00:00:00.000000,,,Repair Report,False,False,0,False,False
193,2022-02-28 00:00:00.000000,,,Repair Report,False,False,0,False,False
75,2022-03-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
139,2022-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
487,2022-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False
383,2022-04-11 00:00:00.000000,,,Repair Report,False,False,0,False,False
496,2022-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False
293,2022-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False
292,2022-06-17 00:00:00.000000,,,Repair Report,False,False,0,False,False
437,2022-06-21 00:00:00.000000,,,Repair Report,False,False,0,False,False
347,2022-06-24 00:00:00.000000,,,Repair Report,False,False,0,False,False
89,2022-06-25 00:00:00.000000,,,Repair Report,False,False,0,False,False
199,2022-06-26 00:00:00.000000,,,Repair Report,False,False,0,False,False
173,2022-07-05 00:00:00.000000,,,Repair Report,False,False,0,False,False
454,2022-07-11 00:00:00.000000,,,Repair Report,False,False,0,False,False
313,2022-07-13 00:00:00.000000,,,Repair Report,False,False,0,False,False
425,2022-07-22 00:00:00.000000,,,Repair Report,False,False,0,False,False
142,2022-07-29 00:00:00.000000,,,Repair Report,False,False,0,False,False
250,2022-08-02 00:00:00.000000,,,Repair Report,False,False,0,False,False
402,2022-08-08 00:00:00.000000,,,Repair Report,False,False,0,False,False
404,2022-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False
225,2022-08-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
200,2022-08-28 00:00:00.000000,,,Repair Report,False,False,0,False,False
119,2022-08-31 00:00:00.000000,,,Repair Report,False,False,0,False,False
238,2022-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False
155,2022-09-23 00:00:00.000000,,,Repair Report,False,False,0,False,False
276,2022-09-26 00:00:00.000000,,,Repair Report,False,False,0,False,False
216,2025-03-18 12:55:30.359483,71.1,12.4,IoT Alert,True,True,14,True,False
157,2025-03-18 14:55:30.359483,71.9,15.9,IoT Alert,True,False,7,False,False
85,2025-03-18 14:55:30.359483,75.8,10.8,IoT Alert,True,False,0,False,False
297,2025-03-18 15:55:30.359483,71.7,14.5,IoT Alert,True,True,7,False,False
167,2025-03-18 15:55:30.359483,76.2,15.7,IoT Alert,True,False,60,False,False
497,2025-03-18 19:55:30.359483,72.2,15.1,IoT Alert,True,False,0,False,False
126,2025-03-18 19:55:30.359483,72.6,12.2,IoT Alert,True,True,7,True,False
467,2025-03-18 20:55:30.359483,70.2,12.1,IoT Alert,True,True,7,True,False
180,2025-03-18 21:55:30.359483,74.3,13.3,IoT Alert,True,True,14,True,False
87,2025-03-18 22:55:30.359483,71.3,15.8,IoT Alert,True,True,90,False,False
417,2025-03-18 23:55:30.359483,70.9,15.9,IoT Alert,True,True,7,False,False
450,2025-03-19 00:55:30.359483,70.8,15.7,IoT Alert,True,False,7,False,False
112,2025-03-19 00:55:30.359483,74.6,15.8,IoT Alert,True,False,30,False,False
67,2025-03-19 02:55:30.359483,73.7,14.9,IoT Alert,True,True,14,False,False
444,2025-03-19 02:55:30.359483,75.1,15.1,IoT Alert,True,True,7,False,False
173,2025-03-19 02:55:30.359483,77.2,13.4,IoT Alert,True,False,14,False,False
288,2025-03-19 03:55:30.359483,72.8,13.8,IoT Alert,True,True,0,True,False
296,2025-03-19 04:55:30.359483,71.2,14.0,IoT Alert,True,True,0,True,False
331,2025-03-19 04:55:30.359483,70.6,15.2,IoT Alert,True,True,14,True,False
224,2025-03-19 06:55:30.359483,74.5,14.5,IoT Alert,True,False,14,False,False
145,2025-03-19 07:55:30.359483,71.5,15.9,IoT Alert,True,True,90,False,False
148,2025-03-19 07:55:30.359483,75.6,12.1,IoT Alert,True,False,7,False,False
60,2025-03-19 08:55:30.359483,71.8,11.9,IoT Alert,True,False,14,False,False
331,2025-03-19 10:55:30.359483,73.7,15.1,IoT Alert,True,True,30,True,False
301,2025-03-19 12:55:30.359483,75.3,15.6,IoT Alert,True,False,0,False,False
14,2025-03-19 12:55:30.359483,74.3,14.9,IoT Alert,True,True,30,True,False
233,2025-03-19 15:55:30.359483,82.0,12.4,IoT Alert,True,False,0,False,False
43,2025-03-19 18:55:30.359483,73.7,10.5,IoT Alert,True,False,90,False,False
162,2025-03-19 19:55:30.359483,72.6,13.5,IoT Alert,True,False,0,False,False
311,2025-03-19 19:55:30.359483,75.3,12.0,IoT Alert,True,True,14,True,False
418,2025-03-19 19:55:30.359483,73.4,14.6,IoT Alert,True,False,0,False,False
69,2025-03-19 20:55:30.359483,70.2,15.6,IoT Alert,True,True,90,False,False
331,2025-03-19 20:55:30.359483,73.1,13.5,IoT Alert,True,True,14,False,False
309,2025-03-19 22:55:30.359483,74.0,15.2,IoT Alert,True,True,14,True,False
96,2025-03-20 00:55:30.359483,71.4,10.6,IoT Alert,True,False,0,False,False
370,2025-03-20 02:55:30.359483,82.6,14.6,IoT Alert,True,False,30,False,False
248,2025-03-20 04:55:30.359483,76.8,15.0,IoT Alert,True,True,7,True,False
42,2025-03-20 05:55:30.359483,74.0,13.5,IoT Alert,True,False,60,False,False
37,2025-03-20 05:55:30.359483,72.0,15.5,IoT Alert,True,True,7,True,False
333,2025-03-20 09:55:30.359483,78.8,14.9,IoT Alert,True,False,0,False,False
262,2025-03-20 10:55:30.359483,84.5,13.5,IoT Alert,True,True,0,False,False
433,2025-03-20 11:55:30.359483,70.2,12.5,IoT Alert,True,False,14,False,False
313,2025-03-20 11:55:30.359483,71.5,15.1,IoT Alert,True,True,14,False,False
19,2025-03-20 11:55:30.359483,74.1,14.0,IoT Alert,True,False,0,False,False
215,2025-03-20 12:55:30.359483,77.6,15.7,IoT Alert,True,True,30,True,False
307,2025-03-20 13:55:30.359483,71.7,14.3,IoT Alert,True,True,14,False,False
429,2025-03-20 15:55:30.359483,73.5,9.7,IoT Alert,True,True,14,True,False
429,2025-03-20 16:55:30.359483,71.8,13.3,IoT Alert,True,False,14,False,False
25,2025-03-20 16:55:30.359483,70.4,13.8,IoT Alert,True,False,14,False,False
470,2025-03-20 17:55:30.359483,73.4,14.0,IoT Alert,True,True,14,False,False
163,2025-03-20 17:55:30.359483,73.3,14.8,IoT Alert,True,False,0,False,False
85,2025-03-20 21:55:30.359483,70.7,13.7,IoT Alert,True,False,0,False,False
39,2025-03-20 22:55:30.359483,70.9,13.8,IoT Alert,True,False,60,False,False
322,2025-03-20 22:55:30.359483,73.9,14.0,IoT Alert,True,False,90,False,False
309,2025-03-20 22:55:30.359483,70.9,10.8,IoT Alert,True,True,7,False,False
68,2025-03-20 23:55:30.359483,70.7,14.6,IoT Alert,True,True,7,False,False
343,2025-03-21 03:55:30.359483,79.8,12.3,IoT Alert,True,False,30,False,False
134,2025-03-21 03:55:30.359483,75.4,13.8,IoT Alert,True,False,14,False,False
147,2025-03-21 06:55:30.359483,71.5,15.1,IoT Alert,True,False,0,False,False
232,2025-03-21 06:55:30.359483,72.5,14.4,IoT Alert,True,True,0,False,False
254,2025-03-21 09:55:30.359483,74.1,11.5,IoT Alert,True,True,30,True,False
303,2025-03-21 11:55:30.359483,71.9,15.5,IoT Alert,True,False,30,False,False
444,2025-03-21 11:55:30.359483,70.2,15.9,IoT Alert,True,False,0,False,False
214,2025-03-21 11:55:30.359483,79.0,15.5,IoT Alert,True,False,7,False,False
155,2025-03-21 15:55:30.359483,74.5,15.1,IoT Alert,True,False,7,False,False
76,2025-03-21 15:55:30.359483,71.4,12.7,IoT Alert,True,False,30,False,False
156,2025-03-21 16:55:30.359483,71.0,15.0,IoT Alert,True,True,0,True,False
231,2025-03-21 17:55:30.359483,70.9,13.2,IoT Alert,True,True,0,False,False
133,2025-03-21 17:55:30.359483,72.8,13.6,IoT Alert,True,False,30,False,False
67,2025-03-21 17:55:30.359483,70.2,12.1,IoT Alert,True,False,0,False,False
264,2025-03-21 18:55:30.359483,70.7,14.7,IoT Alert,True,True,30,True,False
265,2025-03-21 19:55:30.359483,71.0,14.5,IoT Alert,True,True,7,False,False
112,2025-03-21 21:55:30.359483,73.8,12.8,IoT Alert,True,False,0,False,False
456,2025-03-21 21:55:30.359483,70.5,14.1,IoT Alert,True,True,7,False,False
241,2025-03-21 22:55:30.359483,70.1,11.6,IoT Alert,True,True,30,True,False
30,2025-03-21 22:55:30.359483,70.6,15.6,IoT Alert,True,False,60,False,False
22,2025-03-21 23:55:30.359483,79.6,13.5,IoT Alert,True,False,60,False,False
435,2025-03-22 00:55:30.359483,71.9,14.8,IoT Alert,True,False,7,False,False
105,2025-03-22 01:55:30.359483,70.4,15.0,IoT Alert,True,True,30,True,False
126,2025-03-22 02:55:30.359483,70.4,14.6,IoT Alert,True,False,7,False,False
88,2025-03-22 03:55:30.359483,72.0,12.7,IoT Alert,True,True,7,False,False
490,2025-03-22 07:55:30.359483,71.4,15.5,IoT Alert,True,True,60,False,False
412,2025-03-22 07:55:30.359483,79.0,15.0,IoT Alert,True,False,0,False,False
272,2025-03-22 14:55:30.359483,74.3,14.1,IoT Alert,True,False,0,False,False
212,2025-03-22 15:55:30.359483,81.2,15.7,IoT Alert,True,False,7,False,False
53,2025-03-22 15:55:30.359483,71.4,13.5,IoT Alert,True,False,0,False,False
209,2025-03-22 16:55:30.359483,70.2,13.4,IoT Alert,True,False,0,False,False
438,2025-03-22 16:55:30.359483,75.1,10.5,IoT Alert,True,True,14,False,False
348,2025-03-22 17:55:30.359483,71.6,15.6,IoT Alert,True,True,14,True,False
35,2025-03-22 18:55:30.359483,71.7,15.9,IoT Alert,True,True,60,False,False
10,2025-03-22 19:55:30.359483,70.6,12.0,IoT Alert,True,True,60,True,False
232,2025-03-22 21:55:30.359483,76.5,15.7,IoT Alert,True,False,7,False,False
465,2025-03-22 22:55:30.359483,74.3,13.7,IoT Alert,True,True,7,False,False
3,2025-03-23 01:55:30.359483,70.5,13.8,IoT Alert,True,False,7,False,False
69,2025-03-23 06:55:30.359483,75.0,15.4,IoT Alert,True,False,14,False,False
60,2025-03-23 08:55:30.359483,76.8,15.9,IoT Alert,True,False,7,False,False
476,2025-03-23 09:55:30.359483,73.5,14.6,IoT Alert,True,False,30,False,False
119,2025-03-23 10:55:30.359483,75.5,15.5,IoT Alert,True,False,14,False,False
428,2025-03-23 12:55:30.359483,76.3,13.0,IoT Alert,True,True,14,False,False
61,2025-03-23 13:55:30.359483,78.8,12.0,IoT Alert,True,True,14,True,False
311,2025-03-23 14:55:30.359483,74.5,15.6,IoT Alert,True,False,7,False,False
1,2025-03-23 15:55:30.359483,75.2,14.8,IoT Alert,True,True,90,True,False
451,2025-03-23 18:55:30.359483,71.2,15.7,IoT Alert,True,True,30,False,False
453,2025-03-23 20:55:30.359483,74.4,15.3,IoT Alert,True,False,0,False,False
126,2025-03-23 22:55:30.359483,79.7,12.9,IoT Alert,True,True,60,True,False
371,2025-03-24 01:55:30.359483,71.8,12.7,IoT Alert,True,False,14,False,False
442,2025-03-24 02:55:30.359483,74.1,15.9,IoT Alert,True,False,60,False,False
30,2025-03-24 03:55:30.359483,71.1,14.9,IoT Alert,True,False,30,False,False
479,2025-03-24 03:55:30.359483,81.2,13.4,IoT Alert,True,True,14,False,False
280,2025-03-24 03:55:30.359483,70.1,13.2,IoT Alert,True,True,0,True,False
250,2025-03-24 04:55:30.359483,70.5,13.9,IoT Alert,True,False,7,False,False
246,2025-03-24 05:55:30.359483,72.1,15.3,IoT Alert,True,True,14,True,False
453,2025-03-24 05:55:30.359483,81.9,12.4,IoT Alert,True,False,30,False,False
242,2025-03-24 07:55:30.359483,74.5,13.5,IoT Alert,True,False,7,False,False
248,2025-03-24 08:55:30.359483,74.4,15.9,IoT Alert,True,False,0,False,False
32,2025-03-24 09:55:30.359483,70.9,11.4,IoT Alert,True,True,60,False,False
367,2025-03-24 09:55:30.359483,73.2,15.7,IoT Alert,True,True,90,True,False
448,2025-03-24 10:55:30.359483,71.3,14.5,IoT Alert,True,False,14,False,False
167,2025-03-24 13:55:30.359483,82.6,13.6,IoT Alert,True,True,0,False,False
162,2025-03-24 15:55:30.359483,70.3,15.5,IoT Alert,True,True,7,False,False
381,2025-03-24 15:55:30.359483,71.0,15.4,IoT Alert,True,False,0,False,False
255,2025-03-24 16:55:30.359483,73.1,15.0,IoT Alert,True,False,90,False,False
127,2025-03-24 19:55:30.359483,72.0,13.6,IoT Alert,True,False,0,False,False
211,2025-03-24 22:55:30.359483,70.8,15.6,IoT Alert,True,False,14,False,False
258,2025-03-24 22:55:30.359483,74.5,13.2,IoT Alert,True,True,7,True,False
98,2025-03-24 22:55:30.359483,71.0,13.2,IoT Alert,True,False,14,False,False
477,2025-03-24 22:55:30.359483,70.3,9.8,IoT Alert,True,False,30,False,False
302,2025-03-25 04:55:30.359483,74.4,14.8,IoT Alert,True,True,60,True,False
163,2025-03-25 05:55:30.359483,74.6,15.6,IoT Alert,True,False,7,False,False
458,2025-03-25 06:55:30.359483,70.5,14.9,IoT Alert,True,False,0,False,False
370,2025-03-25 06:55:30.359483,77.2,15.5,IoT Alert,True,False,0,False,False
115,2025-03-25 08:55:30.359483,71.6,10.3,IoT Alert,True,False,90,False,False
113,2025-03-25 10:55:30.359483,73.8,14.5,IoT Alert,True,False,60,False,False
143,2025-03-25 12:55:30.359483,72.1,9.5,IoT Alert,True,True,14,False,False
80,2025-03-25 13:55:30.359483,70.9,12.3,IoT Alert,True,True,30,True,False
133,2025-03-25 13:55:30.359483,86.8,12.6,IoT Alert,True,False,30,False,False
198,2025-03-25 19:55:30.359483,76.1,15.4,IoT Alert,True,False,0,False,False
229,2025-03-25 20:55:30.359483,70.7,14.5,IoT Alert,True,False,90,False,False
297,2025-03-25 21:55:30.359483,73.1,9.7,IoT Alert,True,False,14,False,False
343,2025-03-25 21:55:30.359483,70.4,15.6,IoT Alert,True,False,7,False,False
464,2025-03-26 01:55:30.359483,88.2,12.7,IoT Alert,True,False,14,False,False
103,2025-03-26 03:55:30.359483,70.8,13.6,IoT Alert,True,False,0,False,False
334,2025-03-26 03:55:30.359483,73.8,15.0,IoT Alert,True,False,0,False,False
40,2025-03-26 03:55:30.359483,70.7,15.4,IoT Alert,True,False,30,False,False
356,2025-03-26 14:55:30.359483,70.2,12.7,IoT Alert,True,False,0,False,False
246,2025-03-26 15:55:30.359483,72.1,11.8,IoT Alert,True,False,30,False,False
450,2025-03-26 17:55:30.359483,74.4,12.7,IoT Alert,True,True,7,False,False
473,2025-03-26 18:55:30.359483,74.8,14.1,IoT Alert,True,True,7,True,False
189,2025-03-26 20:55:30.359483,77.9,13.5,IoT Alert,True,True,7,False,False
407,2025-03-26 22:55:30.359483,70.3,13.6,IoT Alert,True,False,7,False,False
372,2025-03-26 22:55:30.359483,70.4,15.7,IoT Alert,True,True,30,False,False
199,2025-03-26 22:55:30.359483,78.9,13.5,IoT Alert,True,True,7,False,False
258,2025-03-27 00:55:30.359483,71.8,15.5,IoT Alert,True,False,14,False,False
195,2025-03-27 00:55:30.359483,71.5,12.3,IoT Alert,True,True,14,True,False
178,2025-03-27 05:55:30.359483,74.4,14.7,IoT Alert,True,False,30,False,False
375,2025-03-27 09:55:30.359483,74.7,12.4,IoT Alert,True,True,90,True,False
244,2025-03-27 10:55:30.359483,74.0,14.5,IoT Alert,True,True,30,True,False
393,2025-03-27 11:55:30.359483,74.8,15.3,IoT Alert,True,False,7,False,False
302,2025-03-27 13:55:30.359483,73.0,10.7,IoT Alert,True,True,0,False,False
399,2025-03-27 14:55:30.359483,70.3,14.9,IoT Alert,True,True,7,False,False
92,2025-03-27 14:55:30.359483,72.0,12.6,IoT Alert,True,False,14,False,False
24,2025-03-27 16:55:30.359483,72.7,15.4,IoT Alert,True,False,0,False,False
276,2025-03-27 18:55:30.359483,77.6,15.2,IoT Alert,True,True,14,True,False
223,2025-03-27 18:55:30.359483,72.8,15.6,IoT Alert,True,False,14,False,False
425,2025-03-27 19:55:30.359483,71.5,14.8,IoT Alert,True,True,7,False,False
275,2025-03-27 21:55:30.359483,70.8,13.6,IoT Alert,True,True,30,False,False
436,2025-03-27 23:55:30.359483,70.1,15.4,IoT Alert,True,False,0,False,False
120,2025-03-27 23:55:30.359483,72.2,15.5,IoT Alert,True,False,0,False,False
70,2025-03-28 00:55:30.359483,73.6,15.7,IoT Alert,True,False,30,False,False
38,2025-03-28 00:55:30.359483,78.0,14.0,IoT Alert,True,False,14,False,False
188,2025-03-28 01:55:30.359483,70.5,14.5,IoT Alert,True,False,30,False,False
265,2025-03-28 03:55:30.359483,72.2,15.6,IoT Alert,True,False,14,False,False
224,2025-03-28 03:55:30.359483,74.9,15.4,IoT Alert,True,True,7,False,False
261,2025-03-28 07:55:30.359483,75.1,15.8,IoT Alert,True,False,60,False,False
139,2025-03-28 07:55:30.359483,75.0,13.8,IoT Alert,True,True,30,False,False
384,2025-03-28 07:55:30.359483,70.3,14.6,IoT Alert,True,True,30,False,False
35,2025-03-28 08:55:30.359483,77.6,14.9,IoT Alert,True,True,7,False,False
45,2025-03-28 10:55:30.359483,72.6,14.4,IoT Alert,True,True,14,False,False
152,2025-03-28 11:55:30.359483,70.4,14.0,IoT Alert,True,False,7,False,False
13,2025-03-28 15:55:30.359483,70.7,9.5,IoT Alert,True,False,0,False,False
401,2025-03-28 16:55:30.359483,78.9,15.0,IoT Alert,True,False,90,False,False
95,2025-03-28 17:55:30.359483,72.9,15.3,IoT Alert,True,True,0,True,False
283,2025-03-28 17:55:30.359483,74.7,13.4,IoT Alert,True,True,90,False,False
409,2025-03-28 17:55:30.359483,72.2,15.9,IoT Alert,True,True,14,True,False
334,2025-03-28 18:55:30.359483,78.2,14.6,IoT Alert,True,True,0,False,False
69,2025-03-28 19:55:30.359483,72.6,12.8,IoT Alert,True,False,14,False,False
49,2025-03-28 20:55:30.359483,72.7,14.6,IoT Alert,True,False,60,False,False
142,2025-03-29 00:55:30.359483,71.4,15.9,IoT Alert,True,False,30,False,False
450,2025-03-29 01:55:30.359483,72.3,14.9,IoT Alert,True,True,60,False,False
224,2025-03-29 04:55:30.359483,74.6,15.4,IoT Alert,True,False,30,False,False
392,2025-03-29 04:55:30.359483,75.1,15.2,IoT Alert,True,False,30,False,False
493,2025-03-29 05:55:30.359483,70.7,14.8,IoT Alert,True,False,60,False,False
123,2025-03-29 05:55:30.359483,75.5,15.8,IoT Alert,True,False,7,False,False
19,2025-03-29 05:55:30.359483,71.9,12.7,IoT Alert,True,True,14,True,False
303,2025-03-29 09:55:30.359483,74.8,14.3,IoT Alert,True,True,7,False,False
335,2025-03-29 12:55:30.359483,71.4,15.9,IoT Alert,True,True,90,True,False
389,2025-03-29 12:55:30.359483,72.0,15.2,IoT Alert,True,False,90,False,False
59,2025-03-29 16:55:30.359483,75.0,14.8,IoT Alert,True,True,0,True,False
348,2025-03-29 19:55:30.359483,72.8,14.8,IoT Alert,True,True,30,True,False
461,2025-03-29 20:55:30.359483,72.4,15.8,IoT Alert,True,True,90,True,False
442,2025-03-29 20:55:30.359483,70.7,14.8,IoT Alert,True,True,0,True,False
318,2025-03-29 21:55:30.359483,70.5,15.9,IoT Alert,True,False,14,False,False
401,2025-03-29 22:55:30.359483,72.3,15.5,IoT Alert,True,False,90,False,False
78,2025-03-29 23:55:30.359483,77.9,15.9,IoT Alert,True,True,0,False,False
417,2025-03-30 01:55:30.359483,73.9,15.3,IoT Alert,True,True,30,True,False
195,2025-03-30 01:55:30.359483,73.1,14.3,IoT Alert,True,True,7,True,False
36,2025-03-30 03:55:30.359483,71.1,13.4,IoT Alert,True,True,90,False,False
306,2025-03-30 04:55:30.359483,74.0,13.7,IoT Alert,True,True,90,True,False
78,2025-03-30 05:55:30.359483,72.1,10.0,IoT Alert,True,True,90,True,False
